timestamp,jogador,cor,origem,destino,tipo,observacao
2026-06-14 20:17:49,Luis,BRANCA,5-2,4-3,MOVIMENTO,
2026-06-14 20:17:50,Jair,PRETA,2-3,3-4,MOVIMENTO,
2026-06-14 20:18:00,Luis,BRANCA,6-3,5-2,MOVIMENTO,
2026-06-14 20:18:06,Jair,PRETA,1-4,2-3,MOVIMENTO,
2026-06-14 20:18:08,Luis,BRANCA,5-0,4-1,MOVIMENTO,
2026-06-14 20:18:10,Jair,PRETA,2-1,3-2,MOVIMENTO,
2026-06-14 20:18:13,Luis,BRANCA,5-6,4-5,MOVIMENTO,
2026-06-14 20:18:15,Jair,PRETA,3-4,5-6,CAPTURA,
2026-06-14 20:18:17,Luis,BRANCA,6-5,4-7,CAPTURA,
2026-06-14 20:18:19,Jair,PRETA,2-5,3-6,MOVIMENTO,
2026-06-14 20:18:20,Luis,BRANCA,4-7,2-5,CAPTURA,
2026-06-14 20:18:22,Jair,PRETA,1-6,3-4,CAPTURA,
2026-06-14 20:18:23,Luis,BRANCA,4-3,2-5,CAPTURA,
2026-06-14 20:18:31,Jair,PRETA,2-3,3-4,MOVIMENTO,
2026-06-14 20:18:33,Luis,BRANCA,5-4,4-3,MOVIMENTO,
2026-06-14 20:19:03,Jair,PRETA,2-7,3-6,MOVIMENTO,
2026-06-14 20:19:09,Luis,BRANCA,4-1,2-3,CAPTURA,
2026-06-14 20:19:13,Jair,PRETA,1-2,2-1,MOVIMENTO,
2026-06-14 20:19:19,Luis,BRANCA,2-5,1-4,MOVIMENTO,
2026-06-14 20:19:21,Jair,PRETA,0-5,1-6,MOVIMENTO,
2026-06-14 20:19:22,Luis,BRANCA,1-4,0-5,MOVIMENTO,VIROU_DAMA
2026-06-14 20:19:30,Jair,PRETA,2-1,3-2,MOVIMENTO,
2026-06-14 20:19:38,Luis,BRANCA,4-3,2-1,CAPTURA,
2026-06-14 20:19:40,Jair,PRETA,1-0,3-2,CAPTURA,
2026-06-14 20:19:42,Luis,BRANCA,0-5,2-7,CAPTURA,
2026-06-14 20:19:49,Jair,PRETA,0-3,1-4,MOVIMENTO,
2026-06-14 20:19:50,Luis,BRANCA,2-3,0-5,CAPTURA,VIROU_DAMA
2026-06-14 20:19:53,Jair,PRETA,3-4,4-3,MOVIMENTO,
2026-06-14 20:19:57,Luis,BRANCA,0-5,4-1,CAPTURA,
2026-06-14 20:20:01,Jair,PRETA,0-1,1-2,MOVIMENTO,
2026-06-14 20:20:05,Luis,BRANCA,2-7,4-5,CAPTURA,
2026-06-14 20:20:06,Jair,PRETA,4-3,5-4,MOVIMENTO,
2026-06-14 20:20:08,Luis,BRANCA,4-5,6-3,CAPTURA,
2026-06-14 20:20:09,Jair,PRETA,1-2,2-3,MOVIMENTO,
2026-06-14 20:20:11,Luis,BRANCA,4-1,1-4,CAPTURA,
2026-06-14 20:20:15,Jair,PRETA,0-7,1-6,MOVIMENTO,
2026-06-14 20:20:17,Luis,BRANCA,1-4,0-5,MOVIMENTO,
2026-06-14 20:20:30,Jair,PRETA,1-6,2-5,MOVIMENTO,
2026-06-14 20:20:32,Luis,BRANCA,0-5,1-6,MOVIMENTO,
2026-06-14 20:20:33,Jair,PRETA,2-5,3-4,MOVIMENTO,
2026-06-14 20:20:35,Luis,BRANCA,1-6,4-3,CAPTURA,
2026-06-14 20:20:35,SISTEMA,,,,RESULTADO_FINAL,VENCEDOR: Luis [Humano]
